timestamp,batch_id,error_json,payload
2025-06-19 23:12:13,A-ec237a36-0959-49dc-af39-4583d92162e6,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E9a851ZVUKBGBCFKQOPFMDuvminhilspriglopfgc4UMLHByqgb%7E1&CurrencyCode=USD&CustomerEmail=bc46e2b101863dd90dc585dc9c355461896dfbcf&CustomerStatus=New&EventDate=2025-06-19T23%3A11%3A27.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=75.110.56.36&OrderId=2206607&OrderPromoCode=F13O58CUR&ItemSku1=DB-BUNDLE6&ItemQuantity1=1&ItemCategory1=60%20Dragon%20Blend%20Gummies%20-%203%20Blue%20Razz&ItemSubtotal1=143.98&ItemSku2=NCOMP-SAMP-1&ItemQuantity2=1&ItemCategory2=KoiCBD%20Welcome%20Pack&ItemSubtotal2=19.99
2025-06-19 23:06:12,A-a896cf6b-997a-4ea4-a516-086e36406831,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E87b62Z5VMPVLMHzDFGwDuklc%7Ed9%7E3XUXONPVWLMCvnf81VRKAvri&CurrencyCode=USD&CustomerEmail=b9430bd7911814a5889b98abba6bf3ffbb71778a&CustomerId=131733&CustomerStatus=Existing&EventDate=2025-06-19T23%3A05%3A04.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=98.96.15.193&OrderId=2206603&OrderPromoCode=vacay&ItemSku1=GUM-BLR-020-2500&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=79.99&ItemSku2=GUM-BLR-020-2500&ItemQuantity2=1&ItemCategory2=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal2=0
2025-06-19 23:04:12,A-42cdc01f-dd91-4fb4-84e0-6c40be83dab7,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E8%7Eb875-43YVNOKGILMCJAqriejdejegbglcef780SQNEwpmf72ZP&CurrencyCode=USD&CustomerEmail=4eed8938386bb6e004a8c5810c66d674162776f4&CustomerStatus=New&EventDate=2025-06-19T23%3A03%3A27.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=68.229.246.50&OrderId=2206602&ItemSku1=GUM-WTM-020-0500D8&ItemQuantity1=1&ItemCategory1=Koi%20Delta%208%20THC%20Gummies&ItemSubtotal1=39.99&ItemSku2=GUM-NCL-020-0200&ItemQuantity2=1&ItemCategory2=Koi%20CBD%20Gummies%20%7C%20Nighttime%20Rest&ItemSubtotal2=24.99
2025-06-19 23:04:11,A-da7ee7fe-e40a-4e84-ae81-ebdf169e2730,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E65Z13X1W021XY31545V2SJKBxCwxqmd-3ZPNOEFysnfb4YVNDyvl&CurrencyCode=USD&CustomerEmail=ce94182b683adaa668771c3e32e756a74c0685b7&CustomerStatus=New&EventDate=2025-06-19T23%3A01%3A09.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206600&OrderPromoCode=Vacay&ItemSku1=GUM-BLR-020-2500&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=79.19&ItemSku2=GUM-BLR-020-2500&ItemQuantity2=1&ItemCategory2=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal2=0
2025-06-19 22:57:11,A-5462c2a0-ec69-4fa1-ab5c-629afcd8aaf0,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E9c-fia93SNSNOFwvuvkri-a2Y3XY2SOLRQJIJzAwrohda52VKFCs&CurrencyCode=USD&CustomerEmail=a2aafb1be673b712ac9ffd4ee57ddfede4317f5a&CustomerStatus=New&EventDate=2025-06-19T22%3A55%3A58.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206599&ItemSku1=GUM-BLK-020-2500&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal1=79.19&ItemSku2=GUM-BOR-020-2500&ItemQuantity2=1&ItemCategory2=Koi%20Dragon%20Blend%20Gummies&ItemSubtotal2=79.19
2025-06-19 22:56:10,A-9df63d2d-610b-4868-9f57-ff17a5f114d8,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7Ed5V0RQLOSPGLMPFDBCrzpgh95%7E457YWOFMEABqri-1URNGDwlgd6&CurrencyCode=USD&CustomerEmail=5661e8f432784fdc088458223f1cbac81f3fe288&CustomerStatus=New&EventDate=2025-06-19T22%3A54%3A19.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=216.67.164.166&OrderId=2206598&OrderPromoCode=F13O58CUR&ItemSku1=DB-BUNDLE6&ItemQuantity1=1&ItemCategory1=60%20Dragon%20Blend%20Gummies%20-%203%20Blue%20Razz&ItemSubtotal1=143.98
2025-06-19 22:55:12,A-367ea29c-d255-4ed4-a987-356f80cc990a,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E39c%7E58-359a5693WUVKRIzAHLSLMDuyouwunoef-%7E3YSOHExmhe7&CurrencyCode=USD&CustomerEmail=77ba7e5587e287cc6f537cbd7224eaba45a70230&CustomerId=187282&CustomerStatus=New&EventDate=2025-06-19T21%3A08%3A38.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206542&OrderPromoCode=W1V908L8018D6&ItemSku1=GUM-BLR-020-2500-1&ItemQuantity1=1&ItemCategory1=Koi%20Dragon%20Blend%20Gummies%20-%2020%20count&ItemSubtotal1=63.99
2025-06-19 22:51:10,A-e6011725-7779-4356-ac53-c77647e871bd,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7E60QW3WNMHKHKLNEyBCrzpghojoijme8069-cd563URQPIByqgb%7E1&CurrencyCode=USD&CustomerEmail=d393a9a6a174c47ffb0820e380b30c179d46e26a&CustomerId=132668&CustomerStatus=Existing&EventDate=2025-06-19T22%3A49%3A53.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206597&OrderPromoCode=VACAY&ItemSku1=GUM-NCL-060-0600&ItemQuantity1=1&ItemCategory1=Koi%20CBD%20Gummies%20%7C%20Nighttime%20Rest&ItemSubtotal1=59.99&ItemSku2=GUM-NCL-060-0600&ItemQuantity2=1&ItemCategory2=Koi%20CBD%20Gummies%20%7C%20Nighttime%20Rest&ItemSubtotal2=0
2025-06-19 22:47:11,A-6883584b-3a18-4007-a299-2db52ef162ee,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7EadiomhnjpxEJKJDFEFvCsjkb41UVLSVY2ZVZ0PQHxwlf81YQGByo&CurrencyCode=USD&CustomerEmail=4551072cdb1092c0f9f31f399302b10291d3f102&CustomerId=168960&CustomerStatus=Existing&EventDate=2025-06-19T22%3A42%3A06.000Z&IntegrationSource=Impact_BigCommerce_Plugin&OrderId=2206594&OrderPromoCode=JTP7MAL5&ItemSku1=GUM-GRP-020-0500D8&ItemQuantity1=1&ItemCategory1=Koi%20Delta%208%20THC%20Gummies&ItemSubtotal1=0
2025-06-19 22:42:10,A-df4d250d-805d-4968-8208-c10351f51139,"[{""type"":""Contract Error"",""msg"":""CLICK_AFTER_CONVERSION_EVENT""}]",ActionTrackerId=57804&CampaignId=36368&ClickId=%7Eea2RWRMFMLOHIGEGJKAHyopwqwpquyEyslqmndeca4UNLDAsida3&CurrencyCode=USD&CustomerEmail=a8eb951bac93ded3e91e9576e2f623a863cf494f&CustomerId=183897&CustomerStatus=Existing&EventDate=2025-06-19T22%3A40%3A33.000Z&IntegrationSource=Impact_BigCommerce_Plugin&IpAddress=98.253.92.119&OrderId=2206592&OrderPromoCode=WVSGAGBW&ItemSku1=GUM-WTM-040-1000D9&ItemQuantity1=1&ItemCategory1=Extra%20Strength%20Delta%209%20THC%20Gummies&ItemSubtotal1=55.99
